GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl,ProcessStateServiceImpl.ProgressState,12,0,0,0,3,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.web.configuration.deserializer,StrictBooleanDeserializer,27,0,4,0,7,0,4,0,2,0
Generación de extractos AV Villas,avvillas.core.constant.message,EntryMessage,3,0,0,0,1,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.web.configuration.security.filter,RequestWrapper,81,426,12,26,20,71,12,27,3,17
Generación de extractos AV Villas,avvillas.core.web.configuration.security.filter,ApiKeyAuthFilter,43,27,6,2,7,10,4,2,0,2
Generación de extractos AV Villas,avvillas.core.web.configuration.security.filter,InjectionFilter,0,27,0,2,0,9,0,5,0,4
Generación de extractos AV Villas,avvillas.core.web.configuration.security.filter,RequestWrapper.new ServletInputStream() {...},15,13,2,0,3,2,4,2,3,2
Generación de extractos AV Villas,avvillas.core.service.dto.product,ProductCodeDescriptionDTO,146,18,30,0,2,3,23,3,8,3
Generación de extractos AV Villas,avvillas.core.service.dto.product,ProductDTO,293,24,62,0,4,4,43,7,12,7
Generación de extractos AV Villas,avvillas.core.web.traits,UserTrait.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.web.traits,UserTrait.new ParameterizedTypeReference() {...},6,0,0,0,1,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.web.traits,ProductTrait.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Generación de extractos AV Villas,avvillas.core.web.traits,ProductTrait.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Generación de extractos AV Villas,avvillas.core.web.traits,LoaderTrait,36,80,0,0,6,13,0,4,0,4
Generación de extractos AV Villas,avvillas.core.web.traits,HttpClientErrorHandler,6,34,0,0,2,9,0,3,0,3
Generación de extractos AV Villas,avvillas.core.web.traits,LoaderTrait.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Generación de extractos AV Villas,avvillas.core.web.traits,FormatTrait.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Generación de extractos AV Villas,avvillas.core.web.traits,LoaderTrait.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Generación de extractos AV Villas,avvillas.core.web.traits,LoaderTrait.new ParameterizedTypeReference() {...},0,6,0,0,0,1,0,1,0,1
Generación de extractos AV Villas,avvillas.core.web.traits,FormatTrait,5,31,0,0,2,5,0,2,0,2
Generación de extractos AV Villas,avvillas.core.web.traits,UserTrait,60,6,8,0,10,1,6,1,2,1
Generación de extractos AV Villas,avvillas.core.web.traits,CommunicationBetweenServices,11,71,5,3,2,15,4,3,0,3
Generación de extractos AV Villas,avvillas.core.web.traits,HttpClientErrorHandler.ErrorResponse,0,6,0,0,0,2,0,2,0,2
Generación de extractos AV Villas,avvillas.core.web.traits,ProductTrait,0,73,0,4,0,12,0,6,0,4
Generación de extractos AV Villas,avvillas.core.constant.fields.common,CommonFieldNames,21,0,0,0,6,0,3,0,3,0
Generación de extractos AV Villas,avvillas.core.persistence.audit,AuditableEntity,14,3,0,0,3,1,4,1,4,1
Generación de extractos AV Villas,avvillas.core.web.controller.exception,GlobalExceptionHandler.GlobalMessageException,0,4,0,0,0,2,0,1,0,1
Generación de extractos AV Villas,avvillas.core.web.controller.exception,GlobalExceptionHandler,21,37,0,0,9,18,3,5,3,5
Generación de extractos AV Villas,avvillas.core.persistence.entity,LoadFilesEntryEntity,380,24,72,0,7,7,53,5,17,5
Generación de extractos AV Villas,avvillas.core.persistence.entity,ExtractEntity,330,6,58,0,10,2,48,1,19,1
Generación de extractos AV Villas,avvillas.core.persistence.entity,ProcessDataEntity,299,20,44,0,15,6,39,4,17,4
Generación de extractos AV Villas,avvillas.core.persistence.entity,IndexFileEntity,373,49,74,0,6,8,48,13,11,13
Generación de extractos AV Villas,avvillas.core.service.dto.index_file,IndexDto,284,32,62,0,0,8,40,10,9,10
Generación de extractos AV Villas,avvillas.core.persistence.entity.id,ProcessDataId,115,9,22,0,4,1,20,1,9,1
Generación de extractos AV Villas,avvillas.core.constant,MessageConstant,0,4,0,0,0,1,0,1,0,1
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.html,HtmlStructureExtractor,151,3,20,0,36,1,12,1,2,1
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.html,RowDataDistributor,332,6,33,0,62,1,25,1,8,1
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.html,ArrayLayoutAnalyzer,143,3,16,0,26,1,14,1,6,1
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.html,HtmlStructureExtractor.HtmlPageStructure,15,0,0,0,1,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.html,RowDataDistributor.ArrayDistribution,9,0,0,0,1,0,1,0,1,0
Generación de extractos AV Villas,avvillas.core.service.implementations.extract_generation_impl.html,HtmlElementRenderer,9,263,3,19,3,45,3,16,0,8
